,ID,Datetime,SubBasin,Name,Wind_Speed(knots),Air_Pressure(mb),Distance_to_Land(km),Latitude,Longitude,Season,Storm_Category,Rounded_Latitude,Rounded_Longitude,city,country
111655,2010176N16278,2010-06-24 18:00:00,CS,ALEX,25.0,1007.0,155,15.9,-82.0,2,TS,16,-82,,
111657,2010176N16278,2010-06-25 00:00:00,CS,ALEX,25.0,1006.0,154,16.0,-82.1,2,TS,16,-82,,
111659,2010176N16278,2010-06-25 06:00:00,CS,ALEX,25.0,1006.0,147,16.1,-82.3,2,TS,16,-82,,
111661,2010176N16278,2010-06-25 12:00:00,CS,ALEX,30.0,1005.0,139,16.2,-82.5,2,TS,16,-82,,
111663,2010176N16278,2010-06-25 18:00:00,CS,ALEX,30.0,1005.0,127,16.4,-83.1,2,TS,16,-83,,
111665,2010176N16278,2010-06-26 00:00:00,CS,ALEX,30.0,1004.0,99,16.6,-83.9,2,TS,17,-84,,
111667,2010176N16278,2010-06-26 06:00:00,CS,ALEX,40.0,1004.0,89,16.7,-84.9,2,TS,17,-85,,
111669,2010176N16278,2010-06-26 12:00:00,CS,ALEX,40.0,1004.0,113,16.9,-86.1,2,TS,17,-86,,
111671,2010176N16278,2010-06-26 18:00:00,CS,ALEX,55.0,996.0,108,17.2,-87.2,2,TS,17,-87,,
111673,2010176N16278,2010-06-27 00:00:00,CS,ALEX,55.0,995.0,0,17.5,-88.2,2,TS,18,-88,,Belize
111681,2010176N16278,2010-06-28 00:00:00,GM,ALEX,40.0,991.0,10,19.2,-91.1,2,TS,19,-91,,México
111683,2010176N16278,2010-06-28 06:00:00,GM,ALEX,40.0,991.0,53,19.5,-91.4,2,TS,20,-91,,
111685,2010176N16278,2010-06-28 12:00:00,GM,ALEX,50.0,989.0,99,20.0,-91.6,2,TS,20,-92,,
111687,2010176N16278,2010-06-28 18:00:00,GM,ALEX,50.0,990.0,124,20.3,-91.7,2,TS,20,-92,,
111689,2010176N16278,2010-06-29 00:00:00,GM,ALEX,55.0,987.0,126,20.7,-91.7,2,TS,21,-92,,
111691,2010176N16278,2010-06-29 06:00:00,GM,ALEX,55.0,985.0,171,21.5,-91.9,2,TS,22,-92,,
111693,2010176N16278,2010-06-29 12:00:00,GM,ALEX,60.0,983.0,287,22.4,-92.7,2,TS,22,-93,,
111695,2010176N16278,2010-06-29 18:00:00,GM,ALEX,60.0,981.0,395,22.9,-93.6,2,TS,23,-94,,
111697,2010176N16278,2010-06-30 00:00:00,GM,ALEX,65.0,973.0,336,23.0,-94.4,2,Cat1,23,-94,,
111699,2010176N16278,2010-06-30 06:00:00,GM,ALEX,70.0,966.0,306,23.1,-94.8,2,Cat1,23,-95,,
111701,2010176N16278,2010-06-30 12:00:00,GM,ALEX,75.0,958.0,264,23.5,-95.2,2,Cat1,24,-95,,
111702,2010176N16278,2010-06-30 15:00:00,GM,ALEX,75.0,958.0,229,24.0,-95.5,2,Cat1,24,-96,,
111703,2010176N16278,2010-06-30 18:00:00,GM,ALEX,80.0,962.0,152,24.3,-96.2,2,Cat1,24,-96,,
111705,2010176N16278,2010-07-01 00:00:00,GM,ALEX,90.0,948.0,46,24.3,-97.3,3,Cat2,24,-97,,
111706,2010176N16278,2010-07-01 02:00:00,GM,ALEX,95.0,946.0,10,24.2,-97.7,3,Cat2,24,-98,,México
111715,2010188N21269,2010-07-07 06:00:00,GM,NOT_NAMED,25.0,1006.0,94,21.5,-91.1,3,TS,22,-91,,
111717,2010188N21269,2010-07-07 12:00:00,GM,NOT_NAMED,25.0,1006.0,208,22.1,-92.0,3,TS,22,-92,,
111719,2010188N21269,2010-07-07 18:00:00,GM,NOT_NAMED,30.0,1006.0,320,22.8,-92.8,3,TS,23,-93,,
111721,2010188N21269,2010-07-08 00:00:00,GM,NOT_NAMED,30.0,1005.0,410,23.7,-93.7,3,TS,24,-94,,
111723,2010188N21269,2010-07-08 06:00:00,GM,NOT_NAMED,30.0,1006.0,243,24.7,-95.0,3,TS,25,-95,,
111725,2010188N21269,2010-07-08 12:00:00,GM,NOT_NAMED,30.0,1006.0,51,26.1,-96.6,3,TS,26,-97,,United States
111726,2010188N21269,2010-07-08 14:00:00,GM,NOT_NAMED,30.0,1006.0,11,26.1,-97.1,3,TS,26,-97,,United States
111756,2010203N22286,2010-07-24 00:00:00,GM,BONNIE,30.0,1010.0,59,26.3,-82.6,3,TS,26,-83,,
111758,2010203N22286,2010-07-24 06:00:00,GM,BONNIE,30.0,1013.0,190,26.7,-84.4,3,TS,27,-84,,
111760,2010203N22286,2010-07-24 12:00:00,GM,BONNIE,25.0,1013.0,250,27.5,-85.9,3,TS,28,-86,,
111762,2010203N22286,2010-07-24 18:00:00,GM,BONNIE,25.0,1013.0,216,28.1,-87.1,3,TS,28,-87,,
111764,2010203N22286,2010-07-25 00:00:00,GM,BONNIE,25.0,1012.0,88,28.6,-88.3,3,TS,29,-88,,
111766,2010203N22286,2010-07-25 06:00:00,GM,BONNIE,25.0,1012.0,9,29.2,-89.5,3,TS,29,-90,,United States
111818,2010222N26277,2010-08-10 06:00:00,GM,NOT_NAMED,25.0,1008.0,127,25.7,-83.0,3,TS,26,-83,,
111820,2010222N26277,2010-08-10 12:00:00,GM,NOT_NAMED,25.0,1008.0,156,25.7,-83.3,3,TS,26,-83,,
