,ID,Datetime,SubBasin,Name,Wind_Speed(knots),Air_Pressure(mb),Distance_to_Land(km),Latitude,Longitude,Season,Storm_Category
47935,1923285N10267,1923-10-16 06:00:00,GM,NOT_NAMED,70.0,983.0,0,29.2,-91.0,4,Cat1
47997,1923290N20265,1923-10-18 00:00:00,GM,NOT_NAMED,50.0,992.0,30,30.0,-89.0,4,TS
47998,1923290N20265,1923-10-18 01:00:00,GM,NOT_NAMED,50.0,992.0,11,30.3,-89.0,4,TS
48217,1924239N14312,1924-08-28 06:00:00,CS,NOT_NAMED,95.0,965.0,441,16.6,-61.8,3,Cat2
48225,1924239N14312,1924-08-29 06:00:00,CS,NOT_NAMED,95.0,967.0,74,18.5,-64.9,3,Cat2
48314,1924257N24276,1924-09-15 12:00:00,GM,NOT_NAMED,75.0,980.0,14,29.6,-85.5,3,Cat1
48315,1924257N24276,1924-09-15 14:00:00,GM,NOT_NAMED,75.0,980.0,0,29.7,-85.3,3,Cat1
48488,1924271N17274,1924-09-29 12:00:00,GM,NOT_NAMED,50.0,999.0,323,27.0,-86.6,3,TS
48578,1924288N16277,1924-10-19 18:00:00,GM,NOT_NAMED,145.0,910.0,10,22.4,-84.4,4,Cat5
48588,1924288N16277,1924-10-21 00:00:00,GM,NOT_NAMED,80.0,975.0,22,25.8,-81.9,4,Cat1
48589,1924288N16277,1924-10-21 01:00:00,GM,NOT_NAMED,80.0,975.0,14,25.8,-81.8,4,Cat1
49036,1926233N13285,1926-08-25 23:00:00,GM,NOT_NAMED,100.0,955.0,0,29.2,-90.9,3,Cat3
49407,1926255N15314,1926-09-20 22:00:00,GM,NOT_NAMED,100.0,955.0,0,30.3,-87.5,3,Cat3
49412,1926255N15314,1926-09-21 12:00:00,GM,NOT_NAMED,60.0,983.0,9,30.3,-88.6,3,TS
49553,1926287N12279,1926-10-17 18:00:00,CS,NOT_NAMED,60.0,993.0,247,14.3,-80.9,4,TS
49561,1926287N12279,1926-10-18 18:00:00,CS,NOT_NAMED,80.0,974.0,178,16.5,-82.3,4,Cat1
49573,1926287N12279,1926-10-20 06:00:00,CS,NOT_NAMED,125.0,939.0,11,21.3,-82.8,4,Cat4
49575,1926287N12279,1926-10-20 12:00:00,CS,NOT_NAMED,130.0,934.0,44,22.3,-82.7,4,Cat4
50365,1928250N14343,1928-09-12 18:00:00,CS,NOT_NAMED,120.0,940.0,489,16.2,-61.5,3,Cat4
50373,1928250N14343,1928-09-13 18:00:00,CS,NOT_NAMED,140.0,931.0,0,18.0,-65.9,3,Cat5
50529,1929178N21267,1929-06-28 18:00:00,GM,NOT_NAMED,80.0,982.0,77,27.8,-96.0,2,Cat1
50530,1929178N21267,1929-06-28 21:00:00,GM,NOT_NAMED,80.0,982.0,11,28.3,-96.4,2,Cat1
50641,1929262N23296,1929-10-01 04:00:00,GM,NOT_NAMED,70.0,975.0,0,30.2,-85.7,4,Cat1
50929,1930241N13317,1930-09-03 18:00:00,CS,NOT_NAMED,135.0,933.0,0,18.4,-70.0,3,Cat4
51357,1931252N15307,1931-09-11 00:00:00,CS,NOT_NAMED,75.0,987.0,23,18.5,-65.4,3,Cat1
51681,1932225N22270,1932-08-14 00:00:00,GM,NOT_NAMED,125.0,942.0,73,28.6,-94.6,3,Cat4
51683,1932225N22270,1932-08-14 04:00:00,GM,NOT_NAMED,130.0,935.0,0,29.0,-95.2,3,Cat4
51742,1932240N21291,1932-09-01 05:00:00,GM,NOT_NAMED,75.0,979.0,9,30.2,-88.1,3,Cat1
51743,1932240N21291,1932-09-01 06:00:00,GM,NOT_NAMED,75.0,979.0,9,30.3,-88.2,3,Cat1
52151,1932269N17303,1932-09-26 12:00:00,CS,NOT_NAMED,120.0,948.0,280,17.7,-63.0,3,Cat4
52155,1932269N17303,1932-09-27 00:00:00,CS,NOT_NAMED,125.0,943.0,67,18.0,-65.0,3,Cat4
52191,1932269N17303,1932-10-01 12:00:00,CS,NOT_NAMED,40.0,1003.0,108,16.8,-87.2,4,TS
52456,1932304N15305,1932-11-09 12:00:00,CS,NOT_NAMED,130.0,918.0,47,20.8,-78.9,4,Cat4
52572,1933135N13278,1933-05-16 00:00:00,GM,NOT_NAMED,45.0,1001.0,80,22.2,-87.3,2,TS
52909,1933206N14306,1933-08-05 00:00:00,GM,NOT_NAMED,80.0,975.0,10,25.8,-97.1,3,Cat1
53232,1933234N13335,1933-09-05 04:00:00,GM,NOT_NAMED,110.0,940.0,9,26.1,-97.2,3,Cat3
53530,1933254N17272,1933-09-12 12:00:00,CS,NOT_NAMED,60.0,992.0,95,17.8,-87.0,3,TS
53554,1933254N17272,1933-09-15 12:00:00,GM,NOT_NAMED,95.0,960.0,30,22.3,-97.5,3,Cat2
53597,1933259N11302,1933-09-21 00:00:00,CS,NOT_NAMED,140.0,929.0,331,18.4,-82.8,3,Cat5
53627,1933259N11302,1933-09-24 18:00:00,GM,NOT_NAMED,95.0,960.0,62,21.7,-96.7,3,Cat2
53799,1933298N13280,1933-10-29 18:00:00,CS,NOT_NAMED,80.0,982.0,11,18.1,-78.1,4,Cat1
53998,1934156N17273,1934-06-13 12:00:00,GM,NOT_NAMED,80.0,978.0,237,21.7,-92.5,2,Cat1
54024,1934156N17273,1934-06-16 18:00:00,GM,NOT_NAMED,85.0,966.0,0,29.6,-91.7,2,Cat2
54025,1934156N17273,1934-06-16 19:00:00,GM,NOT_NAMED,85.0,966.0,9,29.7,-91.7,2,Cat2
54135,1934203N32281,1934-07-25 17:00:00,GM,NOT_NAMED,75.0,979.0,9,28.1,-96.8,3,Cat1
54172,1934238N27271,1934-08-27 00:00:00,GM,NOT_NAMED,50.0,998.0,133,28.3,-92.3,3,TS
54595,1935135N17292,1935-05-15 12:00:00,CS,NOT_NAMED,30.0,1006.0,24,18.2,-69.5,2,TS
54764,1935241N23291,1935-09-04 22:00:00,GM,NOT_NAMED,85.0,965.0,0,29.6,-83.4,3,Cat2
54879,1935266N15285,1935-09-28 06:00:00,CS,NOT_NAMED,105.0,955.0,45,21.4,-80.3,3,Cat3
54940,1935292N13279,1935-10-21 12:00:00,CS,NOT_NAMED,50.0,995.0,11,17.8,-76.7,4,TS
54964,1935292N13279,1935-10-24 12:00:00,CS,NOT_NAMED,60.0,988.0,235,17.5,-80.5,4,TS
55175,1936164N18273,1936-06-14 18:00:00,GM,NOT_NAMED,40.0,998.0,329,25.4,-85.3,2,TS
55203,1936171N22270,1936-06-20 00:00:00,GM,NOT_NAMED,45.0,1000.0,322,23.8,-91.4,2,TS
55228,1936179N26265,1936-06-27 12:00:00,GM,NOT_NAMED,70.0,987.0,67,27.5,-96.6,2,Cat1
55230,1936179N26265,1936-06-27 16:00:00,GM,NOT_NAMED,70.0,987.0,14,27.9,-97.0,2,Cat1
55289,1936209N24286,1936-07-31 12:00:00,GM,NOT_NAMED,90.0,964.0,34,30.1,-86.5,3,Cat2
55290,1936209N24286,1936-07-31 14:00:00,GM,NOT_NAMED,90.0,964.0,0,30.4,-86.6,3,Cat2
55362,1936221N27272,1936-08-08 00:00:00,GM,NOT_NAMED,30.0,1009.0,254,26.9,-88.1,3,TS
55407,1936228N21273,1936-08-16 00:00:00,GM,NOT_NAMED,50.0,999.0,201,23.3,-88.3,3,TS
